ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,counter
1628411534,CS8A2320uovT6XWw8k,192.168.1.180,5353,224.0.0.251,5353,udp,dns,0.003341,1263,0,S0,-,-,0,D,3,1347,0,0,-,78
1628411485,C1gO4R3YMgtJQUsYzc,192.168.1.98,5678,255.255.255.255,5678,udp,-,-,-,-,S0,-,-,0,D,1,101,0,0,-,13
1628411480,C70lBU3FEyoZAUA9Xi,db80::888b:8236:3381:d568,52655,ff02::c,3702,udp,-,7.102968,4592,0,S0,-,-,0,D,7,4928,0,0,-,4
1628411480,CEXrIQ3fxIVaq6dGee,192.168.1.133,52654,239.255.255.250,3702,udp,-,7.195162,4592,0,S0,-,-,0,D,7,4788,0,0,-,4
1628411488,CsDd5U13iGnje2SA0e,192.168.1.180,9898,255.255.255.255,9898,udp,-,-,-,-,S0,-,-,0,D,1,57,0,0,-,27
1628411491,CY7OJP56bhf3M48Ql,2a03:ec00:b17a:fa7d:64f:4cff:fe21:766f,135,2a03:ec00:b17a:fa7d:b56e:e9aa:44f3:43dc,136,icmp,-,0.000185,24,24,OTH,-,-,0,-,1,72,1,72,-,6
1628411491,CTskqm178cF2Vtefrl,fd04:4f4c:2176:6f00::1,135,fd04:4f4c:2176:6f00:b56e:e9aa:44f3:43dc,136,icmp,-,0.000139,24,24,OTH,-,-,0,-,1,72,1,72,-,6
1628411491,Cz1qj947aSPaYoBIm5,fd04:4f4c:2176:6f00::1,135,fd04:4f4c:2176:6f00:5cfb:15f:59d:70ae,136,icmp,-,0.000109,24,24,OTH,-,-,0,-,1,72,1,72,-,6
1628411492,CfSMIv4KGfHp4ysGfg,2a03:ec00:b17a:fa7d:64f:4cff:fe21:766f,135,2a03:ec00:b17a:fa7d:44f:4c21:766f:4,136,icmp,-,0.00016,24,24,OTH,-,-,0,-,1,72,1,72,-,6
1628411493,CDF98HfPzcHmSBbBf,192.168.1.177,50043,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,189,0,0,-,168
1628411543,CMPUld2mNXDLxDFkZ7,db80::b56e:e9aa:44f3:43dc,52034,db80::64f:4cff:fe21:766f,53,udp,dns,0.016583,55,71,SF,-,-,0,Dd,1,103,1,119,-,302
1628411543,CM18JM1gXhWokYCCLf,db80::b56e:e9aa:44f3:43dc,52839,db80::64f:4cff:fe21:766f,53,udp,dns,0.018713,55,128,SF,-,-,0,Dd,1,103,1,176,-,303
1628411493,CC1YAm1UyFSbxnYyyg,192.168.1.178,41679,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,213,0,0,-,169
1628411493,C20oUpzaqMnqQDZTk,db80::46d9:e7ff:fef9:de2c,59018,ff02::1,10001,udp,-,-,-,-,S0,-,-,0,D,1,233,0,0,-,169
1628411545,CrMz382ibBomQM62cj,db80::b56e:e9aa:44f3:43dc,64249,db80::64f:4cff:fe21:766f,53,udp,dns,0.066519,48,157,SF,-,-,0,Dd,1,96,1,205,-,304
1628411545,CXkGcD28BQR6bkYp7,db80::b56e:e9aa:44f3:43dc,63892,db80::64f:4cff:fe21:766f,53,udp,dns,0.018072,48,202,SF,-,-,0,Dd,1,96,1,250,-,305
1628411545,CnnB8G2eviZ8YOvrQ9,192.168.1.123,64249,192.168.1.1,53,udp,dns,0.027447,48,157,SF,-,-,0,Dd,1,76,1,185,-,54
1628411545,C75BBI3V32AkdSNYZc,db80::b56e:e9aa:44f3:43dc,61375,db80::64f:4cff:fe21:766f,53,udp,dns,0.019412,38,145,SF,-,-,0,Dd,1,86,1,193,-,306
1628411545,C8Qb5c21DwywpT28O7,db80::b56e:e9aa:44f3:43dc,55236,db80::64f:4cff:fe21:766f,53,udp,dns,0.019173,38,305,SF,-,-,0,Dd,1,86,1,353,-,307
1628411495,C39KO72mrQqUxFPu6j,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,135,2a03:ec00:b17a:fa7d:64f:4cff:fe21:766f,136,icmp,-,0.003621,24,16,OTH,-,-,0,-,1,72,1,64,-,6
1628411495,Cyo6ic4PddzvGvpapl,fd04:4f4c:2176:6f00:5cfb:15f:59d:70ae,135,fd04:4f4c:2176:6f00::1,136,icmp,-,0.003651,24,16,OTH,-,-,0,-,1,72,1,64,-,6
1628411545,CaGuDX3aa9G4bKzMii,192.168.1.123,64468,52.114.128.70,443,tcp,ssl,6.054922,4781,7209,RSTO,-,-,0,ShADdaR,16,5433,13,7741,-,1
1628411549,CNJVqJhgZj72llXEj,192.168.1.123,5353,224.0.0.251,5353,udp,dns,0.013525,484,0,S0,-,-,0,D,4,596,0,0,-,16
1628411549,CFgu5i7aSoSreKsE5,db80::b56e:e9aa:44f3:43dc,5353,ff02::fb,5353,udp,dns,0.011583,484,0,S0,-,-,0,D,4,676,0,0,-,16
1628411549,CiN21n6mKPRkFU2S1,db80::b56e:e9aa:44f3:43dc,62413,ff02::1:3,5355,udp,dns,-,-,-,S0,-,-,0,D,1,74,0,0,-,5
1628411549,CYNO1Q2ctNeAsyIH51,192.168.1.123,62413,224.0.0.252,5355,udp,dns,-,-,-,S0,-,-,0,D,1,54,0,0,-,5
1628411549,Cwpxs22GK2odPOVhLa,db80::b56e:e9aa:44f3:43dc,51148,ff02::1:3,5355,udp,dns,-,-,-,S0,-,-,0,D,1,74,0,0,-,6
1628411549,CoCA7e4bAMS14ueVs9,192.168.1.123,51148,224.0.0.252,5355,udp,dns,-,-,-,S0,-,-,0,D,1,54,0,0,-,6
1628411411,Cdxwxk4OQyC9jHFq5,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,52474,2a00:1450:400f:5::c,443,udp,-,89.904204,65949,15665928,SF,-,-,0,Dd,1435,134829,11847,16234584,-,1
1628411502,CAo4oKt0MpAnYe3N7,192.168.1.98,5678,255.255.255.255,5678,udp,-,-,-,-,S0,-,-,0,D,1,102,0,0,-,23
1628411503,CflaU9GNbRMucqln,192.168.1.177,47485,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,189,0,0,-,169
1628411503,CVTyRlEgMFeo5NOwg,192.168.1.178,60779,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,213,0,0,-,170
1628411503,CKMqEnWca5MHNBNm3,db80::46d9:e7ff:fef9:de2c,49191,ff02::1,10001,udp,-,-,-,-,S0,-,-,0,D,1,233,0,0,-,170
1628411554,CTIP1h1SE6at1sARtl,192.168.1.176,5353,224.0.0.251,5353,udp,dns,-,-,-,S0,-,-,0,D,1,122,0,0,-,80
1628411554,Cvfume3wWONCmp6IVa,192.168.1.180,5353,224.0.0.251,5353,udp,dns,-,-,-,S0,-,-,0,D,3,1347,0,0,-,79
1628411506,CsQZFZQIhMgbRHaY9,192.168.1.123,58306,239.255.255.250,1900,udp,-,3.026325,676,0,S0,-,-,0,D,4,788,0,0,-,30
1628411561,C4Kyua4AmDLj0v38g2,db80::b56e:e9aa:44f3:43dc,62317,db80::64f:4cff:fe21:766f,53,udp,dns,0.037313,29,189,SF,-,-,0,Dd,1,77,1,237,-,308
1628411513,CcNZGP1TYrXygqzkA3,192.168.1.177,57158,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,189,0,0,-,170
1628411513,CUqlcc3k4hcZR532G7,192.168.1.178,40698,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,213,0,0,-,171
1628411513,CLLixI37h08ibQHE9j,db80::46d9:e7ff:fef9:de2c,56667,ff02::1,10001,udp,-,-,-,-,S0,-,-,0,D,1,233,0,0,-,171
1628411565,CwZIyi3hvIZiuSt2m4,192.168.1.123,5353,224.0.0.251,5353,udp,dns,-,-,-,S0,-,-,0,D,1,73,0,0,-,17
1628411565,CbT66B4rjDvUfDVIAd,db80::b56e:e9aa:44f3:43dc,5353,ff02::fb,5353,udp,dns,0.00349,270,0,S0,-,-,0,D,6,558,0,0,-,17
1628411565,C88BjOhC2qVdgyiGg,db80::b56e:e9aa:44f3:43dc,53053,db80::64f:4cff:fe21:766f,53,udp,dns,0.032007,35,87,SF,-,-,0,Dd,1,83,1,135,-,309
1628411332,Co3fr82A2xi7klb2Xi,192.168.1.123,53217,143.204.42.39,443,tcp,ssl,240.152365,2009,8465,SF,-,-,0,ShADadTFRf,18,2746,24,9497,-,1
1628411523,CVMnvc27Bm1eQmh2Lc,192.168.1.177,42576,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,189,0,0,-,171
1628411523,CDwqT32PvEnUj7ZHsg,192.168.1.178,49557,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,213,0,0,-,172
1628411523,C1eUJz4UylOdj68aK7,db80::46d9:e7ff:fef9:de2c,57228,ff02::1,10001,udp,-,-,-,-,S0,-,-,0,D,1,233,0,0,-,172
1628411574,CdoNwg1NZlh9ZOBXD,192.168.1.176,5353,224.0.0.251,5353,udp,dns,-,-,-,S0,-,-,0,D,1,122,0,0,-,81
1628411574,CwBlNV3JkJEmkkLkD1,192.168.1.180,5353,224.0.0.251,5353,udp,dns,0.001506,1263,0,S0,-,-,0,D,3,1347,0,0,-,80
1628411575,C0Tk472KOawKAVtcx6,db80::b56e:e9aa:44f3:43dc,63242,db80::64f:4cff:fe21:766f,53,udp,dns,0.002531,32,48,SF,-,-,0,Dd,1,80,1,96,-,310
1628411575,CX7PTy2DX3BOJVbWFc,db80::b56e:e9aa:44f3:43dc,54065,db80::64f:4cff:fe21:766f,53,udp,dns,0.002722,32,60,SF,-,-,0,Dd,1,80,1,108,-,311
1628411576,COZV7N3Bo9Sc0ADxJ7,db80::b56e:e9aa:44f3:43dc,62211,db80::64f:4cff:fe21:766f,53,udp,dns,0.014823,33,61,SF,-,-,0,Dd,1,81,1,109,-,312
1628411576,ChWQm23l1q2lSRGtI2,db80::b56e:e9aa:44f3:43dc,60498,db80::64f:4cff:fe21:766f,53,udp,dns,0.015226,33,70,SF,-,-,0,Dd,1,81,1,118,-,313
1628411580,C6Ugva1bSitZmSb7p5,db80::b56e:e9aa:44f3:43dc,57917,db80::64f:4cff:fe21:766f,53,udp,dns,0.044979,33,61,SF,-,-,0,Dd,1,81,1,109,-,314
1628411580,CXfmi42DBnC58nMCb,192.168.1.123,57917,192.168.1.1,53,udp,dns,0.011269,33,61,SF,-,-,0,Dd,1,61,1,89,-,55
1628411580,Ca8mAIxrDYxhsrSvd,db80::b56e:e9aa:44f3:43dc,49608,db80::64f:4cff:fe21:766f,53,udp,dns,0.014743,33,61,SF,-,-,0,Dd,1,81,1,109,-,315
1628411533,CFNhOS1Gymxm3ntxpf,192.168.1.177,36850,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,189,0,0,-,172
1628411533,CfVtJltK6dxmZdMza,192.168.1.178,35209,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,213,0,0,-,173
1628411533,CNmukb1xTYkck3WCnl,db80::46d9:e7ff:fef9:de2c,53777,ff02::1,10001,udp,-,-,-,-,S0,-,-,0,D,1,233,0,0,-,173
1628411543,ChEAlr2FgXAhhmczh5,192.168.1.177,60807,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,189,0,0,-,173
1628411543,C2syfh2KfyYxwaw8Q4,192.168.1.178,54063,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,213,0,0,-,174
1628411543,CEmQFU3fjgGYcvI9a8,db80::46d9:e7ff:fef9:de2c,35789,ff02::1,10001,udp,-,-,-,-,S0,-,-,0,D,1,233,0,0,-,174
1628411594,CHKt312DSWoQOGYtj,192.168.1.176,5353,224.0.0.251,5353,udp,dns,-,-,-,S0,-,-,0,D,1,122,0,0,-,82
1628411594,C57kfG4LS9IVMvZQm9,192.168.1.180,5353,224.0.0.251,5353,udp,dns,0.001604,1263,0,S0,-,-,0,D,3,1347,0,0,-,81
1628411548,CVcAmH1LAniLDBODLb,192.168.1.180,9898,255.255.255.255,9898,udp,-,-,-,-,S0,-,-,0,D,1,57,0,0,-,28
1628411548,CGTNAhWD88C0wu31a,db80::64f:4cff:fe21:766f,135,db80::b56e:e9aa:44f3:43dc,136,icmp,-,0.000169,24,24,OTH,-,-,0,-,1,72,1,72,-,12
1628411548,C3ahN239k6YUxxFEl,db80::b56e:e9aa:44f3:43dc,546,ff02::1:2,547,udp,-,-,-,-,S0,-,-,0,D,1,182,0,0,-,1
1628411548,CcIEma2Ui7Ir5OBtr2,db80::64f:4cff:fe21:766f,547,db80::b56e:e9aa:44f3:43dc,546,udp,-,-,-,-,S0,-,-,0,D,1,152,0,0,-,1
1628411549,CyeKU61vkQJxTwbLs3,db80::b56e:e9aa:44f3:43dc,143,ff02::16,0,icmp,-,0.413323,100,0,OTH,-,-,0,-,5,380,0,0,-,1
1628411553,C3qyot28gzLKedq0l7,192.168.1.177,46677,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,189,0,0,-,174
1628411553,CtjXC8JCohV4Sngie,192.168.1.178,36912,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,213,0,0,-,175
1628411553,CHVr1C2ouC12VHJpw2,db80::46d9:e7ff:fef9:de2c,42580,ff02::1,10001,udp,-,-,-,-,S0,-,-,0,D,1,233,0,0,-,175
1628411409,CKoGDx1FIT2qme17A6,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,64463,2a00:1450:400f:801::200a,443,tcp,ssl,201.514958,581,5289,SF,-,-,0,ShADadTFf,13,1377,12,6069,-,1
1628411408,Cp0Vot4LJ6rXGZcF69,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,50830,2a00:1450:400f:801::200e,443,tcp,ssl,202.103827,581,7143,SF,-,-,0,ShADadTFf,14,1437,14,8043,-,3
1628411387,CdlicO2pyXL1SXYNt8,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,59238,2a00:1450:400f:80a::2001,443,tcp,ssl,223.482778,581,8035,SF,-,-,0,ShADadTFf,14,1437,15,8985,-,1
1628409812,CwGbLR3ztr9d4REMvc,192.168.1.123,60360,140.82.113.26,443,tcp,-,1800.119322,936,836,SF,-,-,0,^dDaTTfAF,63,3486,95,4986,-,1
1628411086,Cq7yL74xZk9xIjpp2g,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,54067,2a04:4e42:14::760,443,tcp,ssl,527.146628,887,18183,SF,-,-,0,ShADadTTFRf,21,2170,34,20367,-,18
1628411086,Czsr3b37WznyYC79c,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,64335,2a04:4e42:14::760,443,tcp,ssl,527.225868,1127,1706,SF,-,-,0,ShADadTTFRf,19,2290,21,3110,-,19
1628411611,CP7CYq4wgV56b3VuPi,db80::b56e:e9aa:44f3:43dc,64835,ff02::1:3,5355,udp,dns,0.425121,56,0,S0,-,-,0,D,2,152,0,0,-,7
1628411611,CHYUFZ3HaYdvvjIfs3,192.168.1.123,64835,224.0.0.252,5355,udp,dns,0.424896,56,0,S0,-,-,0,D,2,112,0,0,-,7
1628411611,CU4QCl2Ox8cdwR5vzc,db80::b56e:e9aa:44f3:43dc,58778,ff02::1:3,5355,udp,dns,0.423601,56,0,S0,-,-,0,D,2,152,0,0,-,8
1628411611,CWZoIy8SI6mDLJEfc,192.168.1.123,58778,224.0.0.252,5355,udp,dns,0.423353,56,0,S0,-,-,0,D,2,112,0,0,-,8
1628411612,CDWHkT3gm339GYEANe,db80::b56e:e9aa:44f3:43dc,53535,db80::64f:4cff:fe21:766f,53,udp,dns,0.016127,43,88,SF,-,-,0,Dd,1,91,1,136,-,316
1628411612,CRKEjBBrnHfAkRFYl,db80::b56e:e9aa:44f3:43dc,58425,db80::64f:4cff:fe21:766f,53,udp,dns,0.023562,43,100,SF,-,-,0,Dd,1,91,1,148,-,317
1628411612,CrNrBRg22SmpQBcjj,db80::b56e:e9aa:44f3:43dc,50266,db80::64f:4cff:fe21:766f,53,udp,dns,0.019478,44,60,SF,-,-,0,Dd,1,92,1,108,-,318
1628411612,CZxV531C3UFpy2khqi,db80::b56e:e9aa:44f3:43dc,64371,db80::64f:4cff:fe21:766f,53,udp,dns,0.017706,44,72,SF,-,-,0,Dd,1,92,1,120,-,319
1628411612,CicYoD4pEqSaO7pLu1,db80::b56e:e9aa:44f3:43dc,64701,db80::64f:4cff:fe21:766f,53,udp,dns,0.014868,34,69,SF,-,-,0,Dd,1,82,1,117,-,320
1628411612,CjgVwQ2ZTwOpIXkBc7,db80::b56e:e9aa:44f3:43dc,59532,db80::64f:4cff:fe21:766f,53,udp,dns,0.01598,34,118,SF,-,-,0,Dd,1,82,1,166,-,321
1628411562,C2PT5I1HOfXAp4idb6,192.168.1.98,5678,255.255.255.255,5678,udp,-,-,-,-,S0,-,-,0,D,1,102,0,0,-,24
1628411563,CTbQqc4PUOvhghRQNi,192.168.1.177,53458,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,189,0,0,-,175
1628411613,Czskvs34d1oDo2ZOUh,db80::b56e:e9aa:44f3:43dc,61374,db80::64f:4cff:fe21:766f,53,udp,dns,0.022653,27,86,SF,-,-,0,Dd,1,75,1,134,-,322
1628411613,C0okCRRhTuIlGCywb,db80::b56e:e9aa:44f3:43dc,54567,db80::64f:4cff:fe21:766f,53,udp,dns,0.022433,27,98,SF,-,-,0,Dd,1,75,1,146,-,323
1628411613,C1l30N2U24TQUGKyke,db80::b56e:e9aa:44f3:43dc,50402,db80::64f:4cff:fe21:766f,53,udp,dns,0.015095,41,90,SF,-,-,0,Dd,1,89,1,138,-,324
1628411613,CnGe9RzIB6rgVNV6j,db80::b56e:e9aa:44f3:43dc,51767,db80::64f:4cff:fe21:766f,53,udp,dns,0.024212,41,102,SF,-,-,0,Dd,1,89,1,150,-,325
1628411563,Cn55B54pLayro7Qf65,192.168.1.178,60067,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,213,0,0,-,176
1628411563,Cj4VuzFNI0tuGNOzf,db80::46d9:e7ff:fef9:de2c,48083,ff02::1,10001,udp,-,-,-,-,S0,-,-,0,D,1,233,0,0,-,176
1628411614,COKdg82WaDHlLE5Cfj,192.168.1.176,5353,224.0.0.251,5353,udp,dns,-,-,-,S0,-,-,0,D,1,122,0,0,-,83
1628411614,CRlsAx2gwl9EolbkEd,db80::b56e:e9aa:44f3:43dc,59207,db80::64f:4cff:fe21:766f,53,udp,dns,0.0267,53,116,SF,-,-,0,Dd,1,101,1,164,-,326
1628411614,Cc2iOS2NUC5beX4tXk,db80::b56e:e9aa:44f3:43dc,63708,db80::64f:4cff:fe21:766f,53,udp,dns,0.017436,53,148,SF,-,-,0,Dd,1,101,1,196,-,327
1628411614,CHUlzY1HVfi0Jwl01d,db80::b56e:e9aa:44f3:43dc,54621,db80::64f:4cff:fe21:766f,53,udp,dns,0.035577,34,93,SF,-,-,0,Dd,1,82,1,141,-,328
1628411614,Cc5HIPFRiqrBYCUS5,db80::b56e:e9aa:44f3:43dc,59745,db80::64f:4cff:fe21:766f,53,udp,dns,0.035143,34,105,SF,-,-,0,Dd,1,82,1,153,-,329
1628411564,CeP7NHOgSQoSWMFT3,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,53424,2a00:1450:400f:80d::2016,443,udp,-,0.884775,6796,547102,SF,-,-,0,Dd,112,12172,437,568078,-,2
1628411565,CAyxGb4X4sHaFs9tr4,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,53729,2a00:1450:400f:80a::2003,443,udp,-,0.074782,2117,18637,SF,-,-,0,Dd,13,2741,18,19501,-,3
1628411565,CNLxwn3hmXCs6AIIWh,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,50914,2a00:1450:400f:806::2001,443,udp,-,1.046485,3831,23842,SF,-,-,0,Dd,37,5607,48,26146,-,2
1628411567,CGsanj2y0oNo5TCWwf,192.168.1.123,62417,239.255.255.250,1900,udp,-,-,-,-,S0,-,-,0,D,1,153,0,0,-,31
1628411618,C8ujsW3Z3001lhx9fl,db80::b56e:e9aa:44f3:43dc,60566,db80::64f:4cff:fe21:766f,53,udp,dns,0.02243,42,95,SF,-,-,0,Dd,1,90,1,143,-,330
1628411618,CrtNlc4YXrDUsZ9Wld,db80::b56e:e9aa:44f3:43dc,64050,db80::64f:4cff:fe21:766f,53,udp,dns,0.022117,42,107,SF,-,-,0,Dd,1,90,1,155,-,331
1628411611,CdVqWI2OBjyJfl5wwl,db80::b56e:e9aa:44f3:43dc,5353,ff02::fb,5353,udp,dns,1.017092,136,0,S0,-,-,0,D,4,328,0,0,-,18
1628411611,CXWpxl4lFjwnQ1ezH6,192.168.1.123,137,192.168.1.255,137,udp,dns,1.513155,150,0,S0,-,-,0,D,3,234,0,0,-,3
1628411611,CcceFpagmZPSdR9ob,192.168.1.123,5353,224.0.0.251,5353,udp,dns,1.017435,136,0,S0,-,-,0,D,4,248,0,0,-,18
1628411573,CEitMX389U3iD69ebf,192.168.1.177,46250,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,189,0,0,-,176
1628411613,CSTso74FBGcNc6ABu1,192.168.1.180,5353,224.0.0.251,5353,udp,dns,1.50672,1300,0,S0,-,-,0,D,4,1412,0,0,-,82
1628411408,CpUjvE4SzF74j2PSsl,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,55646,2a00:1450:400f:801::200e,443,udp,-,164.633213,34228,2298340,SF,-,-,0,Dd,373,52132,1891,2389108,-,3
1628411388,CK1XMo4bj6ClXW4DZ3,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,61833,2a00:1450:400f:800::200e,443,tcp,ssl,240.17494,1156,31538,SF,-,-,0,ShADadTFf,24,2613,41,34070,-,1
1628411573,CKnb37glJY11k9P32,db80::46d9:e7ff:fef9:de2c,59422,ff02::1,10001,udp,-,-,-,-,S0,-,-,0,D,1,233,0,0,-,176
1628411573,C5Zln73LC2QnnJ1hk2,192.168.1.178,37812,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,213,0,0,-,176
1628411576,CeLFAb3jglD6z4dP8i,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,55822,2a00:1450:400f:802::2004,443,udp,-,0.146437,3473,3621,SF,-,-,0,Dd,12,4049,13,4245,-,1
1628411580,CEVII93vSALCksqsog,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,50350,2a00:1450:400f:803::200e,443,udp,-,0.153056,3217,17471,SF,-,-,0,Dd,15,3937,20,18431,-,2
1628411580,CeHAqV182Hcq1bsQf6,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,51628,2a00:1450:400f:806::2003,443,udp,-,0.109638,1547,2060,SF,-,-,0,Dd,5,1777,4,2252,-,1
1628411580,CemrlO2HjecaUo5wM2,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,61629,2a00:1450:400f:80c::2003,443,udp,-,0.104087,1553,2060,SF,-,-,0,Dd,5,1783,4,2252,-,3
1628411580,C3k6p334YhPsdcmdcg,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,59277,2a00:1450:400f:800::200e,443,udp,-,0.159471,4767,3107,SF,-,-,0,Dd,9,5198,9,3539,-,4
1628411583,Cc47Xo2MktGP6FXMl9,192.168.1.177,34135,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,189,0,0,-,176
1628411396,CIsski1bgO26OmVrt2,192.168.1.123,52041,143.204.42.123,443,tcp,ssl,241.617759,1379,94039,SF,-,-,0,ShADadTFRf,41,3036,89,97671,-,1
1628411583,CcopWK1RaK7rfNOxwh,192.168.1.178,53152,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,213,0,0,-,177
1628411583,Cti4lA4T91DrY9yIVa,db80::46d9:e7ff:fef9:de2c,60454,ff02::1,10001,udp,-,-,-,-,S0,-,-,0,D,1,233,0,0,-,177
1628411397,CXBAYC2VL8Jpe2HhIc,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,52935,2600:9000:20a5:e200:1d:47ad:2280:93a1,443,tcp,ssl,241.290301,1209,377753,SF,-,-,0,ShADadTFRf,118,8306,329,397565,-,1
1628411634,CFYCDy4o5XN3Cpl1Uk,192.168.1.176,5353,224.0.0.251,5353,udp,dns,-,-,-,S0,-,-,0,D,1,122,0,0,-,84
1628411634,CE4xpQ2m7qBQ51udnl,192.168.1.180,5353,224.0.0.251,5353,udp,dns,0.004986,1263,0,S0,-,-,0,D,3,1347,0,0,-,83
1628411584,CI1pZ11lnmtKqVVlM2,192.168.1.133,58498,239.255.255.250,1900,udp,-,3.044631,696,0,S0,-,-,0,D,4,808,0,0,-,16
1628411593,CV2SbOdfZ0W2ohuEe,192.168.1.177,35717,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,189,0,0,-,177
1628411408,C0KzmjsEO4WC5T808,2a03:ec00:b17a:fa7d:5cfb:15f:59d:70ae,57223,2a00:1450:400f:80d::200e,443,tcp,ssl,240.212033,1145,8177,SF,-,-,0,ShADadTFf,20,2362,23,9630,-,1
1628411593,CoJeAS1OzQIk7RdXSk,192.168.1.178,45324,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,213,0,0,-,178
1628411593,CLHhG82hTAhYY886C9,db80::46d9:e7ff:fef9:de2c,45131,ff02::1,10001,udp,-,-,-,-,S0,-,-,0,D,1,233,0,0,-,178
1628411642,CEORuq2mkzf6f61Dsb,192.168.1.173,5353,224.0.0.251,5353,udp,dns,4.014627,260,0,S0,-,-,0,D,5,400,0,0,-,8
1628411642,C9Uqrt4Oe8wjtISUs8,db80::898:609a:cfee:1bfe,5353,ff02::fb,5353,udp,dns,4.014574,260,0,S0,-,-,0,D,5,500,0,0,-,8
1628411603,CdTy0B1Uux4POG6Itj,192.168.1.177,45767,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,189,0,0,-,178
1628411603,CRUeXz1BwoSCEnvzH6,192.168.1.178,35461,255.255.255.255,10001,udp,-,-,-,-,S0,-,-,0,D,1,213,0,0,-,180
1628411603,Ckt8gY1U2M1GoQr1hg,db80::46d9:e7ff:fef9:de2c,40945,ff02::1,10001,udp,-,-,-,-,S0,-,-,0,D,1,233,0,0,-,180
1628411654,CwxgrL2MDzHf7hi7Mb,192.168.1.176,5353,224.0.0.251,5353,udp,dns,-,-,-,S0,-,-,0,D,1,122,0,0,-,85
1628411654,CM2PWexNnQMr065of,192.168.1.180,5353,224.0.0.251,5353,udp,dns,0.003031,1263,0,S0,-,-,0,D,3,1347,0,0,-,84
1628411657,CL0PL5ceVsAinXJcg,db80::b56e:e9aa:44f3:43dc,61392,db80::64f:4cff:fe21:766f,53,udp,dns,0.03045,29,109,SF,-,-,0,Dd,1,77,1,157,-,332
1628411657,CZErA61uUXKIS6pbNf,db80::b56e:e9aa:44f3:43dc,51568,db80::64f:4cff:fe21:766f,53,udp,dns,0.030249,29,88,SF,-,-,0,Dd,1,77,1,136,-,333
1628411608,CZ8Lfc15XvQKvq04Ob,192.168.1.180,9898,255.255.255.255,9898,udp,-,-,-,-,S0,-,-,0,D,1,57,0,0,-,29
1628411660,CK4fWF3QcIgrYQkVh8,db80::b56e:e9aa:44f3:43dc,52372,db80::64f:4cff:fe21:766f,53,udp,dns,0.042523,38,103,SF,-,-,0,Dd,1,86,1,151,-,334
1628411660,C86k7C11ZJeKy8V1H1,db80::b56e:e9aa:44f3:43dc,52710,db80::64f:4cff:fe21:766f,53,udp,dns,0.042964,38,103,SF,-,-,0,Dd,1,86,1,151,-,335
